he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
העסוקות (HSVQVT):	haisukot	['haasukot']
בחדרונא (VCHDRVN):	bkhedrona	['bkhadrona']
פוטסדאם (FVTSDM):	potsdam	['potsdam']
לדחקוה (LDCHQVH):	ldakhakuha	['lidkhakuha']
ממחנה (MMCHNH):	mimakhane	['mimakhane']
קבלתון (QVLTVN):	kibaltun	['kabeltun']
עוזרים (VZRYM):	ozrim	['ozrim']
הדוחן (HDVCHN):	hadokhan	['hadokhan']
ומקרינא (VMQRYN):	vmakrina	['umakarina', 'vmakrina']
חלודים (CHLVDYM):	khaludim	['khaludim']
יתן־אכל (YTN_CHL):	yiten-okhel	['yiten-okhel']
ונויו (VNVYV):	vnoyo	['vnoyo']
ואעקרת (VQRT):	veekaret	['vaakarat']
טעון (TVN):	taun	['tiun', 'taaavan', 'taun', 'taon', 'taavan']
אנג׳לינה (NJLYNH):	anjelina	['anjelina']
גם־שבי (GM_SVY):	gam-shavi	['gam-shvi']
במשריתא (VMSRYT):	bmashrita	['bmashrita', 'bmashriyata']
הקורפורציה (HQVRFVRTZYH):	hkorportsya	['hkurporatsi']
סטרהאן (STRHN):	strhaan	['strahan']
לראשם (LRSM):	lrasem	['lrosham']
ועפרת (VFRT):	vaafarat	['vofaret', 'vafrot']
ככרי־כסף (CHCHRY_CHSF):	kikre-kesef	['kikrey-kesef']
ורהובן (VRHVVN):	vrahuvan	['verhoven']
קודש (QVDS):	kodesh	['kudesh', 'kodes', 'kodesh', 'kods']
ועל־התירוש (VL_HTYRVS):	val-hatirosh	['val-hatirosh']
מהוגנא (MHVGN):	mhugna	['mhogna']
מבושלתא (MVVSLT):	miboshlta	['mvushalta']
הלמהולץ (HLMHVLTZ):	halimholets	['helmholts']
שמעולם (SMVLM):	shemolam	['shemeolam']
ישגח (YSGCH):	yashgakh	['yashgakh', 'yishgakh']
וקטורין (VQTVRYN):	vktorin	['vkitorin', 'vkturin']
ויתמהון (VYTMHVN):	vyitmahun	['vyitmhun']
לשב (LSV):	lsev	['lsbh', 'lashav', 'leshev', 'lsba', 'lasba', 'lshev']
לכעור (LCHVR):	lkiur	['lkiur']
דאנפאי (DNFY):	danpai	['danpai']
למעשה (LMSH):	lmaase	['lmaas', 'lmase', 'lamaase', 'lamas', 'lmas', 'lmaase']
במרביות (VMRVYVT):	bmarbavot	['bmurbiot']
וששיתם (VSSYTM):	vshesheyitem	['vshishitem', 'vshishaitem']
וכתקע (VCHTQ):	vkitka	['vkitkoa']
אשר־מל (SR_ML):	asher-mol	['asher-mal']
נאנאן (NNN):	nanan	['nanan']
ודרשו (VDRSV):	vdarshu	['vdirshu', 'vdarshu', 'vdrasho']
את־צאני (T_TZNY):	et-tsoni	['et-tsoni']
הענש (HNS):	haanash	['heans', 'haans', 'haonesh', 'hons', 'haonsh']
מבזיל (MVZYL):	mibazil	['mbezel']
בנזק (VNZQ):	bnezak	['bnezek']
שהסביר (SHSVYR):	shehisbir	['shehisbir']
דתעבד (DTVD):	dtabed	['dteevad', 'dtabed', 'dteebad']
לשמיד (LSMYD):	lashmid	['lashmid']
ושריאת (VSRYT):	vshariat	['vshriat', 'vshareyat', 'vshariat']
חדיה (CHDYH):	khadya	['khadyeh']
ומעוטה (VMVTH):	vmuta	['vmiutah']
נופי (NVFY):	nofe	['nufi', 'nofi', 'nofei']
שמצניעין (SMTZNYYN):	shematsniin	['shematsniin']
פרעיילאכן (FRYYLCHN):	prayyelkn	['freyylakhn']
קוקלשל (QVQLSL):	kokalshel	['kokelsel']
והשאילה (VHSYLH):	vhishila	['vhishila', 'vhishilah']
דתלייא (DTLYY):	dtalayaya	['dtalyaya']
ויבגניי (VYVGNYY):	vivagnayei	['vyevgenii']
פסטירא (FSTYR):	pastira	['pastira']
ממשש (MMSS):	memashesh	['mmases', 'mmashesh', 'mmashaesh']
בממון (VMMVN):	bmemon	['bmamon', 'bamamon']
אורחא (VRCH):	orka	['orkha', 'urka']
ונגסאקי (VNGSQY):	vangaski	['vnagasaki']
ת׳וואבתה (TVVVTH):	thavavavth	['thaovabte']
לשמשני (LSMSNY):	lshimsheni	['lshamsheni']
דאתוספן (DTVSFN):	dhitospan	['ditospan', 'dhitospan']
עין־חרוד (YN_CHRVD):	eyn-kharod	['eyn-kharod']
נתינאי (NTYNY):	nityanai	['ntinae']
באיתבחשותיה (VYTVCHSVTYH):	bitbashuteh	['bitbakhshuteh']
שלאכטענזה (SLCHTNZH):	slaktauanze	['slaktenze']
ברוא (VRV):	brua	['beru', 'bro', 'baru', 'bru']
תהדרנו (THDRNV):	tehadarnu	['thadrenu']
ובזיון (VVZYVN):	uvizyon	['uvizyon', 'uvizaayon']
אאורידיצ׳ה (VRYDYTSHH):	aurydiche	['euridiche']
הרקמה (HRQMH):	harakma	['harikma']
וערבה (VRVH):	varbh	['varva', 'vaareva', 'vaaravh', 'verva', 'verbah', 'varevh']
שיבק (SYVQ):	saybek	['sibak']
והנחשת (VHNCHST):	vhanekeshet	['vhanhkhoshet', 'vhankhshet']
ברבדים (VRVDYM):	barvadim	['brvadim']
שנתקשו (SNTQSV):	shenitkashu	['shenitkashu']
פאאבו (FVV):	pavo	['paabo']
וישאל־לו (VYSL_LV):	vayishal-lo	['vayishal-lo']
ואם־זבח (VM_ZVCH):	vim-zevakh	['vim-zevakh']
ובמיא (VVMY):	vvmaya	['uvmaya', 'vvmaya']
אטמאן (TMN):	atman	['atamn']
בצאק (VTZQ):	btsak	['betsak']
דקדם (DQDM):	dkadem	['dikodam', 'dkodam', 'dkodem', 'dikdam']
מכנו (MCHNV):	mikno	['mekano', 'makhno', 'muknu']
במזומן (VMZVMN):	bimzuman	['bhmzumn', 'bimezuman']
כחכות (CHCHCHVT):	kkhukot	['kkhakot']
מריעים (MRYYM):	mriim	['mriim']
תשובן (TSVVN):	tshuvan	['tshuvun']
ל״כי (L_CHY):	lki	['lki']
ב״חדש (V_CHDS):	bkhadesh	['bkhodesh']
כזרח (CHZRCH):	kizrakh	['kizrokh']
בקורדרוי (VQVRDRVY):	bkordroi	['bkordroi']
ונקרינן (VNQRYNN):	vnakrinan	['vnakrinan']
החנונים (HCHNVNYM):	hakhanunim	['hakhenvanim']
ג׳לאטרייה (JLTRYYH):	jalatriya	['jelatrie']
קציר־חטים (QTZYR_CHTYM):	ktsir-khataim	['ktsir-khitaim']
תוריתא (TVRYT):	torita	['torita', 'torayta']
פחת־יהודה (FCHT_YHVDH):	pakhat-yhudh	['pakhat-yhudh']
עתיק (TYQ):	atik	['atik']
מלפני (MLFNY):	milpanay	['milipnei', 'milifnei', 'milpani', 'milhfnei', 'milifnay', 'milifni', 'mlpanay', 'milpanay']
שירך (SYRCH):	shirakh	['syrecha', 'syrcha', 'shirekh', 'shirkha']
לאתיחדא (LTYCHD):	lityakhada	['lityakhada']
ישמרך (YSMRCH):	yishmrekh	['yishmrkha', 'yishmarcha', 'yismarkֿh']
ויעקר (VYQR):	vayaaker	['vayakaer', 'vyaker', 'vyaakor', 'vyeaker', 'vyeekar']
לענותה (LNVTH):	laanotah	['lanotah']
לוא־טובה (LV_TVVH):	lo-tova	['l,o-tova', 'lo-tova']
ש״צפרה (S_TZFRH):	stsipra	['stsiporh']
לדרומא (LDRVM):	lidroma	['ldaroma']
רמות (RMVT):	rimot	['rmot', 'rmout', 'ramut', 'ramot']
ולבז (VLVZ):	vlabez	['vlavoz', 'vlavaz']
ומשמרים (VMSMRYM):	vmsamrim	['vmshamrim']
ועם־רב (VM_RV):	vim-rav	['vam-rav']
מכך (MCHCH):	mikkh	['makakh', 'makekh', 'mkakh', 'mikakh', 'mikkh']
תהובד (THVVD):	thoved	['thoved']
חיצוניות (CHYTZVNYVT):	kitsoniot	['kitsoniot', 'kitsoniut']
בלושר (VLVSR):	bluser	['belusher']
התנפלתי (HTNFLTY):	hitnapolti	['hitnapalti']
בפראג (VFRG):	bfrag	['bprag']
מאגרוף (MGRVF):	magruf	['meegrof']
הגהאט (HGHT):	hgahat	['hghat']
שליסלברג (SLYSLVRG):	slyslberg	['slyslberg']
דכומרניא (DCHVMRNY):	dkumranaya	['dkhumranya', 'dkhumrnaya']
צמחי (TZMCHY):	tsimkhi	['tsimki', 'tsmakhai', 'tsamke', 'tsimke']
ובהמתכם (VVHMTCHM):	uvhemtchem	['uvhemthchem']
את־כלם (T_CHLM):	et-kulam	['et-kulam']
כל־מעבדוהי (CHL_MVDVHY):	kal-meavdohi	['kal-maavadohi']
פומן (FVMN):	puman	['fuman']
כעגול (CHGVL):	khigul	['khigul']
וכמת (VCHMT):	vkmat	['vkamth', 'vkmet']
פעורה (FVRH):	paora	['pura']
לגזלם (LGZLM):	lgazlam	['lgazlam']
אתערת (TRT):	itarat	['atarat', 'itarat', 'itarath']
מלוך־נס (MLVCH_NS):	milukh-nes	['mlok-nes']
לצל־יומ֖ם (LTZL_YVM_M):	ltsal-yome֖m	['ltsel-yoma֖m']
שעיען (SYN):	sian	['shian']
האפק (HFQ):	hafak	['haofek', 'hopk']
מחברן (MCHVRN):	mkhabran	['mkhabran']
כערוגה (CHRVGH):	karugh	['kaarugh']
גזה (GZH):	gaza	['giza', 'gozo', 'gizah', 'gazah', 'geza', 'gaza']
ככל־המעשים (CHCHL_HMSYM):	kkal-hamaasim	['kkal-hamaasim']
זאת־מנוחתי (ZT_MNVCHTY):	zot-mnukhati	['zot-mnuakhti']
ככבש (CHCHVS):	kkevesh	['kkeves']
הכלכול (HCHLCHVL):	hkalkul	['hkilkul']
איתגלייא (YTGLYY):	itglayaya	['itgalyaya']
שנוסעים (SNVSYM):	shenosim	['shenosim']
ידעינון (YDYNVN):	yadinun	['yadinun']
אל־דתן (L_DTN):	al-datan	['el-datan']
קרנאק (QRNQ):	karnak	['karnak']
כהרמב (CHHRMV):	kaharmev	['kharambh']
שטויותים (STVYVTYM):	shetoyotim	['stuyotim']
כנשוא (CHNSV):	knisva	['knso']
דעטף (DTF):	datef	['dataf']
נאחזנו (NCHZNV):	neekhzenu	['neeakhznu']
שכב (SCHV):	skev	['shakev', 'skv', 'shkv', 'shokv', 'sekhev', 'shkev', 'shakv', 'sokev', 'skbh', 'skav', 'skov', 'shakhav', 'shkav', 'sokv', 'shokev', 'shakov']
דעקתא (DQT):	dakta	['dakta']
תכחדו (TCHCHDV):	tikhkhadu	['tkakhedu']
המגל (HMGL):	hmagal	['hamagal', 'hmgal']
נקורי (NQVRY):	nkurei	['nikurei']
שפושט (SFVST):	sheposet	['shepushet', 'sheposhet']
בשקולא (VSQVL):	bshikula	['bshikula', 'bishkola']
שבכאן (SVCHN):	shebakaan	['shebkan']
ג׳ג׳יאנג (JJYNG):	jajeyang	['jejeyang', 'jejeyng', 'jejyang']
מדרבן (MDRVN):	midraban	['mdarben']
התדיר (HTDYR):	hitdir	['hatadir']
קזרוניהיה (QZRVNYHYH):	kazronihye	['kazerunihi']
למחול (LMCHVL):	limkhol	['lamakol', 'lmakhul', 'lmakol', 'lmakoul', 'limkol']
לשבש (LSVS):	lshabesh	['lsabes', 'lshabesh']
ותזיל (VTZYL):	vtazil	['vtezil']
אזילתון (ZYLTVN):	azeyltun	['azeyltun']
את־כל־מאומה (T_CHL_MVMH):	et-kal-meoma	['et-kal-muma']
ושתאן (VSTN):	vshatan	['vshatan', 'vshtaan']
סגרי (SGRY):	sagrei	['sigri']
נפוס (NFVS):	nafus	['nafus', 'nepos']
מיקרוב (MYQRVV):	mikrov	['mikrob']
לוחייא (LVCHYY):	lukhayaya	['lukhayaya']
מלאכותיים (MLCHVTYYM):	mlakhutiim	['mlakhutiyim']
טאטא (TT):	tate	['tite', 'tuata', 'tiate', 'taitae']
בנביה (VNVYH):	binbeh	['banviah']
בן־עמיאל (VN_MYL):	ben-amiel	['ben-amiel']
מזלגות (MZLGVT):	mazlgot	['mazlegot', 'mizlagot', 'mizlaguot', 'mazlgot']
התק (HTQ):	htek	['htkoh', 'hatek', 'htka']
ידרים (YDRYM):	ydrim	['yadrim']
והשכן (VHSCHN):	vhashken	['vhashken']
כשיבקר (CHSYVQR):	ksheyiboker	['ksheyhvakaer']
במנין (VMNYN):	bminyan	['bmnyan', 'bminyan', 'baminyan']
שחבריהם (SCHVRYHM):	sheakhvrehem	['sheakhvreyhem']
אברלי (VRLY):	avrali	['everli']
ואילולא (VYLVL):	vilula	['vilule']
העטור (HTVR):	haitur	['haitur', 'heatur']
חמ״ם (CHM_M):	khamam	['khamam']
ודאשתייר (VDSTYYR):	vdishhtayayr	['vdishhtayer', 'vdishhtayeyr']
נשאנו (NSNV):	nisanu	['nsaenu', 'nasanu']
משיצמחו (MSYTZMCHV):	misheyitsmkhu	['misheyitsmku']
יסקון (YSQVN):	yiskun	['yiskun']
ומכוסה (VMCHVSH):	vmkush	['vmkhuse', 'vmkhusa']
מתביעתה (MTVYTH):	mitviatah	['mitviatah']
גולוקה (GVLVQH):	goluka	['goloka', 'goulouka']
טמבלית (TMVLYT):	tambalit	['tambalyt']
כרחי (CHRCHY):	karkhei	['karkhi', 'karki']
בחורותינו (VCHVRVTYNV):	bkhoroteynu	['bakhurotenu']
ליקנת (LYQNT):	likanat	['laykent']
רמש (RMS):	rems	['remesho', 'rmes', 'rmash', 'ramash', 'remes', 'remesh', 'ramas', 'romes']
המואזינים (HMVZYNYM):	hmuazinim	['hmuezinim']
הנמצ (HNMTZ):	hnemtsa	['hnmets']
תאנין (TNYN):	taanin	['tenin']
המודיעית (HMVDYYT):	hamodiit	['hamodiit']
המקודדה (HMQVDDH):	hmkodda	['hmkodadh']
ייחון (YYCHVN):	yeykhun	['yeykhon']
לי (LY):	li	['lhay', 'le', 'ly,', 'lay', 'ly', 'layh', 'lya', 'li', 'lֿi', 'lyh', 'layhah', 'layi', 'lei', 'lye', 'lyo', 'lyi', 'lhe', 'lih']
שבקובנה (SVQVVNH):	shebakauvnh	['svkovnh']
בעביו (VVYV):	bavav	['bavav', 'bhavyo', 'bhavav']
ושבועה (VSVVH):	vshvuoa	['vshvua']
ובטומאה (VVTVMH):	uvtoma	['uvtumh']
גם־לכדתי (GM_LCHDTY):	gam-lkadti	['gam-lakadti']
ארברש (RVRS):	arbrash	['arberesh']
קובל (QVVL):	kovel	['kobel', 'kuovl', 'kouvel', 'kovel']
טוד (TVD):	tod	['tod']
ופרוק (VFRVQ):	uferuk	['vfrok']
הבושם (HVVSM):	habosem	['habosem']
במיתתם (VMYTTM):	bmitatam	['bmitatam']
דמקריבין (DMQRYVYN):	dmakrivin	['dmakrivin', 'dimakrivin']
להכישו (LHCHYSV):	lhakisho	['lhakisho']
דגניזו (DGNYZV):	dganizu	['dganizu']
זרנוק (ZRNVQ):	zarnuk	['zarnuk']
פרוריתתיר (FRVRYTTYR):	proritatir	['pravrttyr']
בקומתך (VQVMTCH):	bkomatakh	['bkomatekh']
ולוט (VLVT):	vlot	['vlout', 'vlot']
האחרנים (HCHRNYM):	haakhranim	['haakharonim', 'haakharnim']
ונקית (VNQYT):	vnakit	['vnikaith']
אסתסריו (STSRYV):	istsarav	['asteserio']
מארסייז (MRSYYZ):	marsyayz	['marseyeyz']
את־עגלון (T_GLVN):	et-agalon	['et-eglon']
בסגור (VSGVR):	bisgor	['bsgor']
השקפה (HSQFH):	hashkapa	['haskafa', 'hashkafa']
עומאר (VMR):	omer	['eomar', 'omar']
עלמני (LMNY):	almani	['alimni']
פגש (FGS):	pages	['peges', 'pghas', 'pagash']
ויסתרו (VYSTRV):	vyistru	['vayastiru', 'vyishtru']
וקנטת (VQNTT):	vkintat	['vknatat']
אובראט (VVRT):	obrat	['overat']
נצתו (NTZTV):	nitsato	['nitsato', 'nitstu', 'nitsat,o', 'nitstv']
דלוחא (DLVCH):	dluka	['dluka']
סקרננית (SQRNNYT):	skarnanit	['sakrnanit']
לקרא (LQR):	likra	['likara', 'lkro', 'lakara', 'likro', 'likra']
ומבכרא (VMVCHR):	vmvakara	['vmibikra']
הסיסמה (HSYSMH):	hsisma	['hasisma']
הורקנוס (HVRQNVS):	hurkanus	['horkanus', 'hourknous', 'horkanos', 'horknus', 'hurkanos', 'horknos']
מזעזע (MZZ):	mizaaza	['mzuaza', 'mzaazea']
והבטחה (VHVTCHH):	vhabatakh	['vhavtakh']
דוויין (DVVYYN):	dvavyayn	['dvevyyn']
דונה (DVNH):	done	['dune', 'don', 'dunh', 'dona', 'done']
לשקלי (LSQLY):	lshakli	['lshikle']
מחווט (MCHVVT):	makavavt	['mkhuvaut']
שיתחדש (SYTCHDS):	sheyitkhadesh	['sheyitkhadesh']
הקידמי (HQYDMY):	hakaidmei	['hakidmi']
הרמוז (HRMVZ):	harmuz	['haramuz']
בפומבדיתא (VFVMVDYT):	bpumbdita	['bhfumbdita']
דעלי (DLY):	dalei	['dheli', 'dali', 'dalay']
וישכח (VYSCHCH):	vayishkakh	['vyashkakh', 'vyishkakh', 'vayishkakh']
נשמטו (NSMTV):	nishmatu	['nishmtu']
שהגדולים (SHGDVLYM):	shehagdolim	['shehagdolim', 'shehagidulim', 'sheagdolim']
החוצני (HCHVTZNY):	hakhotseni	['hkhotsani']
כהסח (CHHSCH):	khasakh	['khesakh']
בודהירוצי (VVDHYRVTZY):	budhirotsi	['bodhirutsi']
ה׳׳פחות׳ (H__FCHVT):	hpakot	['hpekhoth']
תעפר (TFR):	taafar	['taper']
זיתום (ZYTVM):	zetum	['zetom']
שהגלגלים (SHGLGLYM):	shehagalglim	['shehagalgalim']
בלגוסט (VLGVST):	blagost	['belegost']
והשר (VHSR):	vhasoar	['vhasoar', 'vhsor', 'vhsar']
דהתרה (DHTRH):	dhatrah	['dhutra']
בקלל (VQLL):	bkelel	['bkalal']
ואתתקפ (VTTQF):	vittakp	['vittakp']
מהעונה (MHVNH):	mehaona	['mehon']
מביאות (MVYVT):	mibiot	['mviot']
ועברתן (VVRTN):	vaavartan	['vevratan']
לאריסין (LRYSYN):	larisin	['laarisin']
אל־צפניה (L_TZFNYH):	el-tspanya	['el-tspanya']
יכבם (YCHVM):	ykabam	['ykabem']
נחלותיה (NCHLVTYH):	nakhaloteyha	['nakhaloteyha']
ערומה (RVMH):	aruma	['aruma']
למען (LMN):	lmeen	['lmaen', 'lmaan', 'lman', 'lemaan', 'loman']
ואתחרט (VTCHRT):	vitkharat	['vitkharat']
נאבו (NVV):	navo	['naabu']
אערב (RV):	eerav	['eerov', 'aarav']
שערוה (SRVH):	sharuha	['shiaruha']
לחייבי (LCHYYVY):	lkhayaybei	['lkhayaybei']
אהב (HV):	ahev	['ehv', 'ehov', 'ohv', 'ohav', 'ohev', 'ahvh', 'ahave', 'ahiv', 'ahava', 'ahov', 'ahev', 'ahav', 'ehav', 'ahv']
החשיכו (HCHSYCHV):	hekhshikhu	['hekeshiku']
הואלנו (HVLNV):	hoalenu	['hoalnu']
ובספוג (VVSFVG):	uvispog	['uvispog']
מפרמישלן (MFRMYSLN):	mfarmislan	['mpremislan']
קול (QVL):	kol	['koula', 'kolhh', 'kolh', 'kuol', 'k,ol', 'kouli', 'koulhah', 'koul', 'kole', 'kol', 'koli']
גניזתו (GNYZTV):	gnizato	['gnizato']
ומקיפו (VMQYFV):	vmikaipo	['umakaipo']
לבלות (LVLVT):	lvalot	['lvalut', 'livlot', 'lvalot']
חוחן (CHVCHN):	khokhan	['khokhan']
לערער (LRR):	larar	['larer', 'larar']
אורחן (VRCHN):	orkhan	['orkhan']
וישתכחו (VYSTCHCHV):	vyishhtakkhu	['vyishhtkakhu', 'vyishhtakkhu']
רור (RVR):	ror	['rour', 'ror']
גם־פעמים (GM_FMYM):	gam-pamim	['gam-pamim']
מינאטו (MYNTV):	mineto	['mynato']
דקבעין (DQVYN):	dkavin	['dkavin']
וכעקא (VCHQ):	vkaka	['vkaka']
ד׳ואת (DHVT):	thuat	['thavat']
ובקשיש (VVQSYS):	vvkashish	['uvakshish']
בראשיהם (VRSYHM):	brashehem	['brashehom', 'brashehem']
אוריביק (VRYVYQ):	oribik	['oribik']
שפיתגורס (SFYTGVRS):	spitgares	['spitagoras']
את־הברית (T_HVRYT):	et-habrit	['et-habrit']
טזקרה (TZQRH):	tezkra	['tezkere']
דבדקי (DVDQY):	dvadkei	['dhvadkei']
את־עקרה (T_QRH):	et-akara	['ath-akara']
שמרחיקין (SMRCHYQYN):	shemarkhikin	['shemarkhikin']
כוכביא (CHVCHVY):	kokavaya	['kokavaya', 'kokvaya']
לאלונתית (LLVNTYT):	lalontit	['laaluntit']
ומתרבה (VMTRVH):	vmitrabe	['vmitrabh']
היסט (HYST):	hyst	['hyset']
עוצרת (VTZRT):	otseret	['otseret']
מהשדרים (MHSDRYM):	mehashdarim	['mhsadarim']
ונבות (VNVVT):	vnavot	['vnavot']
כיסין (CHYSYN):	kisin	['kisin']
פולובץ (FVLVVTZ):	polovets	['polovets']
בקרייתהון (VQRYYTHVN):	bkiryathon	['bkiryathon']
ויתחרטו (VYTCHRTV):	vyitkhartu	['vyitkhartu']
ת֭ע (T_):	t֭a	['t֭a']
כשוקא (CHSVQ):	kshuka	['kshuka']
סרגיוס (SRGYVS):	sergyus	['sergyus']
שכפאתו (SCHFTV):	shekpaato	['shekpaato']
ועגום (VGVM):	vaagum	['vagum']
חליצת (CHLYTZT):	khalitsat	['khalitsat']
שהשקד (SHSQD):	shehasheked	['shehashaked']
נתעריה (NTRYH):	nitarya	['nitareh']
ולקרבן (VLQRVN):	vlkarban	['vlkarban', 'vlkurban']
לכשתביא (LCHSTVY):	likshetbaya	['likshetavi']
על־המגדלים (L_HMGDLYM):	al-hamigdalim	['al-hamigdalim']
כסניה (CHSNYH):	ksanya	['ksenya']
אלבנה (LVNH):	albane	['albena']
ונקדימון (VNQDYMVN):	vnakdimon	['vnakdimon']
שמשיגין (SMSYGYN):	shemshigin	['shemasoigin']
עד־כמה (D_CHMH):	ad-kamh	['ad-kame']
מנישתסו (MNYSTSV):	minishhtasu	['manistusu']
ושעורים (VSVRYM):	vshiurim	['vshurim', 'vshiurim', 'usorim', 'vshorim']
הזכרון (HZCHRVN):	hazaikron	['hazaikaron', 'hzikarun', 'hazikarun', 'hazikaron', 'hazaikarun']
חורתי (CHVRTY):	khorati	['khiuarti']
לטפשים (LTFSYM):	ltafshim	['ltipshim', 'lataipshim', 'ltipsim']
שכתבנית (SCHTVNYT):	sktavnit	['skatbanit']
שפתח (SFTCH):	spatakh	['shepatakh', 'sfatakh', 'shepetakh', 'spetakh']
הסטרטוספירה (HSTRTVSFYRH):	hstratospeyra	['hstratospeyra']
קבצנים (QVTZNYM):	kabtsanim	['kabtsanim']
יסתירה (YSTYRH):	yastira	['yastirah', 'yastireh']
ה״הנהיות (H_HNHYVT):	hhenhaiot	['hhinehiut']
ומשמני (VMSMNY):	vmishmoni	['vmishmani', 'vmishmane']
וגוללא (VGVLL):	vgolla	['vgolla']
דבתו (DVTV):	dvato	['dibato', 'dbito']
על־גחנ (L_GCHN):	al-gkhan	['al-gkhonh']
כי־אניות (CHY_NYVT):	ki-anyot	['ki-oniot']
גרונך (GRVNCH):	grunekh	['grunekh', 'gronekh']
מלבא (MLV):	malba	['miliba']
שהמטמין (SHMTMYN):	shehamatmin	['shehamatmin']
בסדיר (VSDYR):	bisdir	['bsadyr']
ויקוים (VYQVYM):	vikuyim	['vikuyam']
הבליעל (HVLYL):	habliel	['habliyaal', 'habliaal']
ל׳נשמע (L_NSM):	lnishma	['lnishma']
אנטומולוג (NTVMVLVG):	antomolog	['entomolug']
כליותי (CHLYVTY):	kilyotay	['kilyotay']
המרסקת (HMRSQT):	hamarseket	['hamruseket']
אשר־גרו (SR_GRV):	asher-gru	['asher-garu']
שזקן (SZQN):	shezaakan	['sezkn', 'shezaaken']
סזונוב (SZVNVV):	sezonov	['sazonov']
וידוע (VYDV):	vidua	['vyadoa', 'vidua', 'vyadua']
מרחובות (MRCHVVVT):	merkhovot	['merkhovot']
ברכתהון (VRCHTHVN):	birkathon	['birkathon']
ולכם (VLCHM):	vlakam	['vlkom', 'vlachem']
ונוריא (VNVRY):	vnoraya	['vnorie']
במעדיכם (VMDYCHM):	bmaadechem	['bmoadechem']
שנגזרו (SNGZRV):	shenigzru	['shenigzru']
המצחצח (HMTZCHTZCH):	hamitskhatseakh	['hamtsuktsakh']
יזהרו (YZHRV):	yizharu	['yazhiru', 'yizaaharu', 'yizaaheru', 'yizharv']
בזיכוהי (VZYCHVHY):	bzikuhi	['bazikohi']
מורמסה (MVRMSH):	morms	['muramas']
ששכב (SSCHV):	sheshakav	['sheshakhav']
והגלוי (VHGLVY):	vhagaloi	['vhagilui']
ממאכל (MMCHL):	mimaakhal	['mimaakhal']
ואתגזר (VTGZR):	vitgzar	['vitghzar', 'vitgazaar']
חסנייה (CHSNYYH):	khasaniya	['khasanyi']
נזדככין (NZDCHCHYN):	nizdakkin	['nizdakkin']
לקריתי (LQRYTY):	likriti	['lkiryati']
פרומר (FRVMR):	promer	['prumer']
תלזבם (TLZVM):	tlazbem	['tilazibim']
הבהבה (HVHVH):	habahava	['hivhavah']
הרעמה (HRMH):	harama	['harahimah', 'harimah']
בוואדרי (VVVDRY):	bvavadri	['buodri']
סוגי (SVGY):	sugi	['sevgi', 'sogi', 'sugei', 'sogei']
עמיך (MYCH):	amikh	['amecha', 'amikh']
ומרגיז (VMRGYZ):	vmargiz	['vmargiz']
לאנצויי (LNTZVYY):	lantsoyei	['lintsuie']
נשתו (NSTV):	nishtu	['nistv']
במדמה (VMDMH):	bmidme	['bmadme', 'bmdume']
דלמי (DLMY):	dilmei	['dilmi']
משתקתו (MSTQTV):	mishtakto	['mshatkato']
לקלוע (LQLV):	lkalua	['likloa']
שארים (SRYM):	sharim	['serim']
שהבדלים (SHVDLYM):	shehabdalim	['shbdalim']
ידכאום (YDCHVM):	yidkom	['ydakum']
יחסיון (YCHSYVN):	yakhsiyun	['yekhesayun', 'yekhesay,un', 'yeksayun']
לקודמתה (LQVDMTH):	lkodmatah	['lkudamt']
והליכן (VHLYCHN):	vhalikan	['vhalikhan']
נכרך (NCHRCH):	nikrakh	['nikrkh']
ביאבורקי (VYVVRQY):	byaburki	['byavorki']
מן־כל־מלכותא (MN_CHL_MLCHVT):	min-kal-malkhuta	['min-kal-malkvata']
הגזוזטרה (HGZVZTRH):	hgzuzatra	['hagzuztrh']
שמר־לך (SMR_LCH):	shemer-lcha	['shmar-lcha']
מהם (MHM):	mhm	['mahm', 'mhem', 'mahem', 'mehem', 'meham', 'mehm', 'mihm', 'mhm']
קיתרס (QYTRS):	kitares	['kitaros']
בחבלי (VCHVLY):	bkhavle	['bkhavle']
וקרליל (VQRLYL):	vkarlil	['vkarlayl']
פצה (FTZH):	patsa	['ptse', 'pitsh', 'putsh', 'patsa']
אתגברו (TGVRV):	itgabru	['itgabaru']
וקיצונא (VQYTZVN):	vkitsona	['vkitsona']
שתכשיט (STCHSYT):	shetakhshit	['shetakhshit']
השילוח (HSYLVCH):	hashiluakh	['hashiluakh', 'hashilokh', 'hsilokh', 'hsylokh', 'hashailokh']
ריבולטה (RYVVLTH):	rybolte	['ryvulta']
דנן (DNN):	danen	['dnan', 'danan']
מבני־לוי (MVNY_LVY):	mibney-levi	['mibney-levi']
באריכא (VRYCH):	barika	['baarika']
אוקסה (VQSH):	okse	['ukasa']
ובשעלבים (VVSLVYM):	vvsalavim	['vvshaalvim']
לחוקן (LCHVQN):	lkhukan	['lkhoken']
לממדוח (LMMDVCH):	lmimadukh	['lmamdukh']
מדיניםבינו (MDYNYMVYNV):	midinimbino	['midyanimbeino']
בגופן (VGVFN):	bgufan	['bgofan', 'bgufan']
איאטור (YTVR):	iator	['iator']
ולדריהון (VLDRYHVN):	vldarehon	['vldarehon']
הארוגים (HRVGYM):	haarugim	['haarugim']
